,star,好,乐,哀,怒,惧,恶,惊,contents
2385,0,7,1,6,0,0,1,0,真好啊我们喜欢过爱过无奈过恨过放弃过纠结过挽回过决绝过期盼过疑惑过坦诚过相信过惋惜过而最后我们祝福着回忆着遗憾着微笑着支持着感激着温暖着它真的来过也从未离开过再见爱人人间真好在离婚节目里看到了真爱走过的痕迹哭了一大场
6390,0,7,2,6,0,0,4,1,离婚是婚姻关系的终止符意味着契约的结束曾经承诺永不分开的两个人在离婚的那一刻起变成了两颗独立的星球那些迫于现实急于求成没有爱情的婚姻谁也不愿意走进对方的世界在自己的世界里各自孤独时间久了只是亲情那些年龄差距过大女的追求心和爱男的要的是生活没有浪漫可言好像一点点仪式感都是多余对彼此只是消耗那些受过伤的女生给自恋又自卑的妈宝男留足情面就别再心软了吧多累呀婚姻的镜像大体是一样的每次听郭柯宇讲话都会哭第一次是久别重逢形同陌路的心酸画面在平静中渐行渐远第二次在大草原的围炉夜话我的世界他进不来他的世界我也不太想进去第三次是章贺在攀岩心形台上的那句过去的十年感谢你未来的日子过成你喜欢的样子诧异之余泪盈于睫有没有爱情那又怎么样
36,132,10,3,6,1,0,9,1,我一生中最幸福的两件事一件是时间终于将我对你的爱消耗殆尽一件是很久很久以前有一天我遇见你每一对新人会出于各种原因宣誓结合承诺此生最后大多以同一种失败的姿态丢盔弃甲落荒而逃无非是现实生活消磨了彼此间的一切幻想以及耐心我和你如此亲密生命里找不到第二个这样的人所以有时候错误地把你当成我自己忘了行为需要被兑现在心灵之外也同样高估了双方之间积年累月的默契把心照不宣当作理所当然失望和疲惫伤害了最初的好奇解释变得苍白无力埋怨开始生根发芽争吵也随之而来计较得失清算爱的收支从一开始的伤心愤怒到委屈不甘再到最后的挫败释然或许除了学习相爱我们也应该懂得接受它的变质和湮灭当离别的时刻来临回望这一路彼此祝福然后解开羁绊放他自由谢谢再见爱人
1943,1,5,7,6,0,0,4,1,年看超级女声最喜欢的选手就是朱雅琼尽管她早早就被淘汰了但她写的那首随意歌唱真的在之后很长一段时间里给了我力量我不是那种会疯狂追星的人不会总想挖掘艺人背后的故事这些年最多只有一两次会百度一下她的近况谁能想到一晃年过去了再次见到曾经的那个精灵般的她居然是在一个离婚主题的节目再次听她唱起了当年那首随意歌唱并且得知了歌曲背后原来是个心酸的故事真是又心疼又难过她是靠燃烧自己给我们带来能量啊看到她终于穿上了心心念念的婚纱终于得到了那句好看眼泪止不住的流不论节目结局如何希望我的宝藏女孩能通过这个仪式获得多一点幸福和快乐真真正正随意地歌唱
12790,0,7,2,6,0,0,2,0,看完番外篇我真的难受得不行这里面额感情在爆满丰富了已经不能用好的坏的圆满遗憾这样的词去表达看到郭柯宇章贺那种开放式的结局既美好又心痛给亚琼的信那种一直难以启齿的自卑被人温柔而又有力量的肯定郭柯宇的歌词节目组不强求圆满的真诚天嘉宾的真实的画面我的情感被重重地锤进他们的情绪里感觉自己要缓好久
1840,6,8,1,6,0,1,5,0,除了中间几集有点拉垮看个离婚综艺能猛女落泪到脸疼也是万万没想到仿佛看了个婚姻故事的拉长版有评论说六个嘉宾活得了太奢侈了没有生活的疲惫谈且只谈感情我却恰恰觉得是这个节目太勇敢了它在说情感和情绪是有价值的它跟生活一样值得我们花时间坐下来谈论中国人谈生活苦谈赚钱累却羞于公开谈论情感甚至否定情绪我们不说我爱你不拥抱不感谢不道歉觉得困在情里的人小家子气所以公开谈且只谈情感这件事真得太有意义了郭柯宇和老王是真人秀可遇不可求的嘉宾一个灵动到你觉得就算是看她演戏也罢了她值得我的眼泪另一个真实到完全不克制暴露自己成全了观众的思考和节目的话题
1621,0,6,1,6,0,0,3,0,中年人的情感叹息芒果台这么多真人秀里唯一的有点社会价值和情感导向且给人思考的一档介于娱乐与严肃之间而又直接指向深刻而不可回避的情感婚姻问题的节目对于参与者是一次了解自己和对方包括自己情感关系的机会对于观察者也是一种反省和攒经验的提示节目的设置和深化还需要有更多的专家进行设计和多次层的参与会更好希望能坚持下去不要流于某种庸俗化的形式和被人家所谓的开始拿婚姻来做卖点和热点就好有时候也未必是制作耽单位想拿这个做卖点而是可能这已经是社会婚姻状况的某种反应和这是我所致了是被动的去制作的节目罢了是个好节目有点深度值得看看
11822,0,6,0,6,0,0,1,0,再见爱人听这个名我就不想看离别就很伤感婚姻里的离别应该更痛苦吧可是我一口气补完了前面所有内容这段旅行从讲述两人为什么分开开始没有粉红泡泡旅程中的矛盾争吵很真实大家最后都直面内心不管选择离别还是和好都萌生了更深厚的情感如何相爱就是需要彼此更多的感受理解和沟通吧看完没有恐婚更加相信爱情并且期待他的到来
4812,6,7,0,6,0,0,8,0,王秋雨作为一个编剧如此不解风情是没道理的编剧作为一个类艺术家职业被压榨成了这样一个对生活和情感没有感知的现实主义码字机器大概就是国产片一直无法抬头的原因吧个人感觉他也不是很爱朱雅琼而且有点大男子主义要是生的女儿估计舐犊之情和离婚意愿两说如果后期他变得很浪漫那我怀疑这节目有剧本章贺和郭柯宇作为我磕的唯一一对离婚从前面一直宣称十年各自孤独从未进入过对方的世界到后面的改嫁带前夫抱抱贴贴神同步如果不是生活高于艺术那就是艺术冒充生活另外作为一档号称纪实类的婚恋节目我不赞成以浪漫主义的激情书写离婚和人性录一档节目就把要离婚的夫妻拉回来十年修不好的破船冷静期救不了集体抒情也救不了如果节目结束三对都复合了我回来改一星
1480,3,2,0,6,0,3,1,0,纵然只看过几期我深切地被人情感中的复合性和包容性而震撼离婚综艺却意外地点燃了我追求爱的热情不再有因为害怕遗忘害怕被伤害而逃避我们从未互相拥有并无从属关系因而纵然分开爱也一直都在我们也不会彼此失去失去本身就是个伪命题共享的时光会永远刻在生命里
730,0,4,2,6,0,0,1,0,分来吧把所有东西都摆到台面上都摊开把伤口都揭开不只是已经暴露的矛盾更是意识不到的无意识中的矛盾语言行为一切最具悲剧性的最让我难受心疼的是老王和小朱这是在现代社会中仍然根深蒂固的大男子和小女人之间关于孤独和联系需要和被需要肯定和否定控制和自我觉醒平等和自由的深刻的挣扎和悲痛在三十六问中他们达成了最后的和解不再恨也不愿爱了老王泪下不止小朱心疼地安慰我也干脆落泪尼采说凡是人们从自己的体验出发达不到的东西人们是听不到的我正是吧
147,6,5,0,6,0,0,2,0,做爱情问时老王讲起了自己不幸的童年不被妈妈喜欢被大孩子欺负不停地转学被医生误诊等遭遇李维嘉禁不住感慨这些朱雅琼知道吗全程看下来感到最难过是这一幕这些伤痕是需要被回馈的可彼时彼地爱人关系不再则只能沦为个人的顾影自怜可惜不是你陪我到最后所以很多事其实都没有意义了包括某些送花喊话下车和拥抱
11011,1,8,0,5,0,0,1,0,老王这对太让人心疼了总觉得他们是真的真爱可是俩人都不咋会爱想起那天看到这句话时的难过：在生活中被不正当的爱所伤害的人要比死于中毒车祸和肺癌的人的总和还要多就很难过郭章太像他们唱的我们都太骄傲太在乎谁重要看和佟就像在家看我哥嫂怎么说其实这俩人真的都捡到宝了以前看综艺都是被灌输很大价值观要爱社会有公德忙进取没觉得缺少什么这样细腻的综艺很有必要和我从小读的爱的教育大有不同要先学习爱才能少输出伤害要想少受到些闷闷的伤还是得先理解爱
8583,2,8,1,5,0,0,1,0,看了郭章这对真的太能理解郭柯宇了太早地经历过太深刻的感情一定是在痛苦和伤害中经历过漫长的自我疗愈才让她变成后来那个那样温柔而沉静的人爱的储蓄掏光了所以她总说她和章贺没有爱情在十年更为漫长的人生中我想她是慢慢更加通透而自洽伤害让她成长是过往让现在的她闪光独自美丽吧只是对章贺太不公平不过感情又哪有公平可言呢
2747,0,11,1,5,0,1,4,0,表述方式非常微观的奢侈版婚姻故事年婚龄却还能有在感情里追根究底的力气实在难得也不那么能代表大多数观察过程中总能在某一种处理方式中看懂自己也同时升级了对异性的理解维度三个体会：基于社会时钟的疲惫婚姻冷面维系各自孤独造成的伤害不比把自己全盘掏出再心碎一次的伤害小谈感情不是辩对错再契合的感情也经不起伴侣用日复一日的价值排序来考验两个人能不能走长远的关键在于感受力同频有对好日子相似的想象和期待有互相能理解的喘气方式有不用自我意志支配二人关系的自觉有对内对外的分寸感有情感收支意识看完之后觉得非常冷静有底气反倒减少了对两性关系的犹豫和恐惧本年最佳
6521,0,1,0,5,0,0,4,1,能走到离婚这步都是凑合不下去了能上到这节目大概又是心不够硬心想要不我们再凑合一下让别人给给答案你说到底要不要走下去我原以为离婚是件小事既然都提离婚了肯定有过不下去的理由但一边看一边跟着众人流眼泪难啊太难了都是岁月的羁绊原来付出的点点滴滴就这么只能空负岁月变成一个笑话吗离婚尤其多年的夫妻离婚果然就像做截肢手术砍掉你生命的一部分怎么会不泪流满面
12636,0,9,3,5,0,0,2,0,看到有人说悬浮其实异地重新开始事业的自卑郭姐姐家庭主妇的辛酸都和生活中的经济难堪缩影挺应和的当然比起普通人没有过份的艰辛三个男人各有各的自私我时常能各种代入身边人佟是不想和自己过不去愿意相信爱能改变伴侣的积极人儿郭是付出过伤心过放弃了的清醒人儿小朱最解气凭什么女人要那么通情达理善解人意能干贤惠看了后真是觉得时代个思想再不进步我国人口问题别想解决了
1696,0,13,2,5,0,0,3,0,好喜欢老王和郭柯感觉这三对都共性问题都是一方看不上另一方只是作用的结果和形式不同又由于成长经历的不同个人需要不同得到了不同的结果老王心思太细腻了有多少号称自己是理性的人但是终身没有悟到理性的人本该能够理解感性的人呢问和番外老王哭得像个孩子其实老王才是感情里付出更多却不被理解的孤独郭姐姐直到对的人来的歌词每一句都像在写她也许会有一天心沉静得像海不轻易澎湃直到对的人来希望每个婚姻恋爱关系中的人都能看看学会如何相处希望每个单身的人都能自省变成更好的自己希望每个离婚的人都能学会好好告别希望每个顽固的人都能从别人的错误上反思自己希望每个被这个节目触动的人不要放弃自己生活的原则希望我们在这个节目里为别人的爱情流过遗憾的眼泪能换来今后的幸福
2145,0,11,0,5,1,3,3,0,大芒果就是厉害本来毫无兴趣看到多处的安利与讨论还是一次性追完了一对夫妻关于感性与理性一对夫妻关于心动回应肯定一对夫妻关于底线兴趣爱好平等与肯定是每个人都需要的好的沟通真的太重要了在婚姻里女人是嫁给爱与感觉男人娶的是生活太赤裸真实了一定要活成自己喜欢的样子爱人是可以连他的脚丫子都爱的真实是成本最低的生活方式爱的本质是与他人建立链接去体验各类情感必定是受到了伤害才会是成长就这方面来说我一直没有成长或是说我还不懂什么是爱原因可能是因为我太害怕受伤害了所以一直抵触跟人建立太深的链接虽然我没受过什么情感伤害但是我就是很恐惧伤害愤怒的背后是恼和羞人都是用自己被爱的方式去爱别人我没有越变越好是我放弃的理由
9957,0,11,1,5,0,1,3,0,从来没有想过会为一档离婚纪实类真人秀哭到抽泣三段不同程度破碎的婚姻走到死路的佟晨洁濒临绝境的老王朱雅琼离婚一年的章贺郭柯宇同一个主题：理解节目输出了太多观念和想法不要高估自己对没有爱情的婚姻的容忍程度即便再难对自己也要坦诚然后直到对的人来节目从头到尾都透露着用心二字只有对嘉宾负责对观众负责才能成为诚意之作谁能想到在一档离婚节目里能重燃起对爱情的信任呢我想表达爱意不是我想获得回应人们因为讲实话的能力太差所以才会讲谎话最后在漫长的一生里分别与爱不一定相悖
13305,0,12,0,5,0,0,4,1,亲密关系里有太多学问了学习如何和自己相处还是半吊子的我在这里看到了一部部婚姻的简史：爱从萌牙破土壮硕枯萎凋落走到尽头看的过程中强大的同理心让我数次落泪惊呆了一起追综艺的呆萌男友流泪是因为节目太真实了离婚或者有离婚的想法是现实但曾经彼此的欣赏和吸引也是难以忽视的每个嘉宾都很真实身上的矛盾感在细节中流露无疑任何感情其实都是和自己另一种对话的方式友情和亲情还给参与其中的人留有些许的分寸感但婚姻本来就是为了亲密无间而存在的靠的太近嵌得太深最后连自己都迷失了曾经百看不厌的恋人也容易变得面目全非再见爱人可能是为了在不失去焦距的前提下看清爱人也看清自己
11071,0,11,1,5,0,0,2,0,一对离婚边缘一对冷静期一对已离婚的夫妻共同参与的情感综艺没有想到会这么好看十八天的新疆之旅直面自己的内心和婚姻中最现实的问题把最真实的一面展现给观众看每个人都是多面的没有谁是完美的曾经我们相爱一定是你身上有吸引我的特质但当生活的一地鸡毛让我无法再忍受你时我们的婚姻还能够继续吗观察嘉宾总能一针见血地指出他们的婚姻问题也给了我很多思考一开始觉得老王总是否定雅琼从不回应她的浪漫后来发现他也曾微笑看她嬉闹为她安排好一切只要戒酒和人间清醒佟晨洁一定能继续走下去最意难平的是章贺郭柯宇呀总是隐藏自己的内心拼命否认曾相爱嘴硬不肯认输但是爱却在细节中处处流露出来最后的那一抱也许是回答了这十年不算白费片尾曲的再见爱人超级好听写的就是章贺呀
6083,0,9,4,5,0,0,4,1,抓住幸福比忍受痛苦更需要勇气三对夫妻选得很典型不幸福的原生家庭真对未来影响深远有些人是无法非暴力沟通有些人却因此变得更理性坚强沟通尤其亲密关系中的沟通真的好难考验是否可以打破我执而是否安全要看你是不是找对了人否则你破碎的自我也没法和对方融合只能一直破碎着看到郭柯宇开始用幽默自卫原来有种笑是应激反应后来一秒留下热泪看到老王说朱雅琼一年老了十岁说他的生活中只有她都让人好难过理性的人以为自己高于感性无所不能但其实这种自以为是一般都会让亲密关系很受折磨气氛担当以为自己很懂得情感回馈但实际却错过了解决问题的时大家也总高估对无爱婚姻的容忍度有时候要从外界汲取能量但是外界能量有时又会威胁到感情冰裂纹比喻亲密关系实在妙
6219,0,5,3,5,0,0,2,0,虽然感觉又是一个模仿秀也老是有人在我旁边说都是剧本但是那种失望的或者温暖的眼神都让人动容节目里说可能结婚不是为了幸福但离婚一定是为了幸福两个之前完全没有交集的人在一起结婚生活本来就不是一件容易的事情婚姻本身就是难的脆弱的希望章老师可以复婚希望朱老师可以找到愿意花时间了解自己的人可以多反思反思如果一段关系让你觉得痛苦不如趁早散伙
4243,0,11,3,5,0,0,4,1,弃余历史：我不理解我不理解我不理解老王就是利用年龄优势以及侥幸拥有一个对方喜欢的外表早期付出一点努力把自己其实一点都不爱的人日常施一点小恩小惠就可以让她回来我觉得对雅琼来说可能还是有点内心深处没有真的放掉吧有点奢望觉得对方好像爱她佟晨洁也是我的迷惑点心疼在房车外那一段好无力她其实清醒又明白但一次一次把委屈无奈吞掉好像有点舍不得然后把那个根本是底层观念没有多契合的指手画脚男哄回来叹气对比起来可能郭章是有点让人羡慕的一对吧在婚姻这层牢笼里达到某种和睦式的平衡枷锁不就在于此么这两位突然像是开始隐藏了矛盾奇怪的男性没有一个让我觉得想夸赞日常迷惑行为大赏
967,0,0,0,5,0,0,0,0,抄的韩国的一档离婚综艺墓志铭：给男人花钱倒霉三年心疼男人倒霉一辈子同情男人倒霉三生三世下嫁就是折寿找软饭男就是自杀
9206,1,19,1,5,0,1,2,0,预习还好我们还有未来还好我们还有自己是预习也是复习越看到后面越可以共情节目里的三位姐姐小朱很好很善良她会永远热爱生活热爱这个星球也许分离会有短暂又或者再久一点的痛苦但脱身的她一定会找到真正的快乐从一开始就很喜欢郭姐姐大概觉得自己骨子里和她有一定的相似性吧我们都很相信也向往至真炙热的爱情我们希望有那么一个人懂我我们慢慢变得害怕受到伤害可我们依然保有着上天赐予我们的高敏感让我们对周围的人更温暖更善良希望小刘也能慢慢成长为郭姐姐那样温柔坚定的人佟姐姐真的人间清醒但面对爱谁又能轻易止步呢好想在每一个她独自吞下苦楚的时刻给她一个温暖的拥抱佟姐姐需要更好的爱虽然不值得但她爱他所以也不觉得该离婚或者不离婚吧晚安
7934,1,6,0,5,0,0,1,0,看到那些走到离婚边缘的夫妻以及已经离婚的更加感觉爱情婚姻是经不起猜忌忽略等等的伤害的但凡能用更好的方式去解决问题就不要为了一时意气而刻意伤害对方珍惜彼此呵护爱情婚姻才能更长久
245,1,6,0,5,0,0,0,0,真情实感的让这个节目丰富了自己最终结局或许是有遗憾的但也并未是最终的结局我一直觉得人生本身就是充满遗憾的我所做的努力是在不断地减少遗憾八年前的今天我谈了第一场恋爱是否再见也已让我变成了更好的自己其实不论是哪种感情始终感谢他们也为自己的不足而抱歉爱是流动的人也是我们就耐心漂流
3803,0,3,1,5,0,1,3,0,从未如此这样真情实感的追过综艺跟着哭哭笑笑无奈失望现代社会一切都在速食化亲密关系多么难以长久持续和维系多一分热度还是多一分套路局中人都进退两难大家像两股力量不断纠缠拉扯既想要爱和被爱又想要自尊和空间相见时难别亦难爱或不爱都避不开要面对真实的对方和问题避不开要面对过往快乐悲伤的回忆和一旦失去亲密关系的巨大恐慌希望我也能不断成长不变初心继续做好人间小太阳也谨以记录舞毕
811,2,3,2,5,0,0,3,0,依然在情感观察类真人秀的模式里深耕但用近乎素人的嘉宾阵容走出如此完美的曲线足以证明这是足够扎实的内容在唤起共情节目的目标受众可能仍然是那批咬着被角嘤嘤啜泣的观众但对于婚恋的关注从幸福转向不幸从甜蜜转向争吵是对节目丰富性的拓宽更是一次对婚姻关系本质的深望即使到了情同陌路的时刻有的人还在拒绝爱过的痕迹有的人依然委屈妥协有的人仍然嘴硬不改每段婚姻里都有太多互相指责的瞬间透过真人秀的窗户如果我们都能先让反思的目光停留在自己的身上十八天的旅行三十六个问题五分钟的选择就都值得
1272,0,3,0,5,0,0,1,0,在最终的离别之前做最后一次尝试稍微代入了一下自己脑补出了如下情节：我要离婚不得不经历离婚冷静期结果冷静着呢出来一堆人拍我那最终走向很可能是我一气之下锤死了摄制组所有人加离婚对象然后开始亡命天涯但根本逃不出天网可我偏要负隅顽抗最终被击毙了并犯下了一桩震惊中外的刑事大案可我最开始只是他妈的想离婚啊脑补结束看来这档节目不对我胃口
8015,0,8,6,5,0,0,1,0,节目探讨濒临已经破碎的情感关系很有意思三对嘉宾也足够坦诚地暴露了自身和感情关系中存在的问题虽然最后一集里郭柯宇最终下车投向章贺的拥抱非常感人但我仍旧最不看好这一对他们应该是三对里最不合适的或者如他俩最开始所说几乎没有爱情郭柯宇是高度感性的人非常在乎情感关系中一些幽微的火焰和精神的共鸣想起来相爱很难里那句歌词很适合郭柯宇可惜我不智或侥幸对火花天生敏感但章贺跟她是说不着的人他听不懂她读不懂她也没有太大兴趣探索她他俩交流起来经常像是一拳打在了棉花上我的感觉是章贺在这段关系里一直存在自卑感他更在乎的是感动自己以及在郭柯宇那里获得肯定答案对郭柯宇来说旅途中一瞬的心动是真的十年付之一炬也是真的
566,13,4,0,5,0,0,3,1,被郭采洁的奇怪脸型剧照吸引点进去看了一集上竟然出奇好看精彩让人深思追看了下妈呀竟然哭了次一次是朱王广州打电话那段一次是婚纱照最后片尾的预告章喊话的也给我整哭了妈蛋我到底是在哭啥子第一集看完总结：王朱分章郭分这两对彼此的沟壑都太深了放手吧让自己好过点以及分手了真的就是分手了千万别回头新的生活和新的人都在前面回头就是自我折磨和彼此折磨如果不是上综艺真不知彼此相爱相杀又是干嘛呀能好好过的不至于到这一步过不下去的就不要再彼此消耗了女生真的要勇敢果断一点既然放手了就永远不要回头最后妈哎虽然知道电视都是假的也没有触动到我的真实情感但是这个综艺真的好好看改五星了
11516,4,9,0,5,0,0,9,0,看到第六期章贺的颜值滤镜消失了他对郭是责备他的难过是不甘心一直偏执于一个答案都是女生追我的你是我第一个提出结婚的我这么帅我付出那么多你凭什么看不上我大概就是帅气的俗人吧确实有长相优势的人都是自恋的吧但同时他又是自卑的内心不够强大需要别人的肯定和崇拜缺乏倾听的耐心很多东西都感知不到自以为直爽骨子里的大男子主义他是真的不懂郭也没有想懂然后怪郭没有给自己想要的郭应该是知道他是这样的只是他的需求她没法给因为那不是自己可以看出来郭老师应该已经放下并且也不后悔自己当初的选择放手向前走了我猜郭老师看上章大概率是因为这皮相身材颜控真的没办法哈哈哈不是说的多就有理的毯子这样的小事他都能发毛这里看到郭老师的眼泪是很心疼的
5017,1,5,1,5,0,0,1,0,流了我太多眼泪让我几度哽咽心碎把它称为芒果台目前最好的综艺毫不为过从一个你从未见过的视角去窥探爱情去抽丝剥茧去慢慢揭开三对夫妻代表的是三种纬度不是让你去恐婚而是让你面对婚姻中最真实的问题除了热恋浪漫还有更多你需要知道的点滴我不会去慨叹可惜不会去站所谓的只在这十几期的节目中去寻找共鸣去继续思考那种触动的自己的点无论怎样这真的是一部让我非常动容的节目让人能够陷进去一时走不出来难道不值得一个五星好评吗
3022,1,3,1,5,0,0,1,0,本以为这会是个让我感觉恐婚的节目结果却并不是这样当他们互相表达感谢的时候我好像也想明白了一些事婚姻可能并没有我过去想象的那么沉重它就像生命里每一件事有遗憾才是常态大家在其中失去一些东西收到伤害也得到一些宝贵的东西分离并不代表着坏结局过去的那些感情那些快乐的悲伤的回忆它们那么真实那么真诚地存在过
8904,0,10,1,5,0,2,1,0,如果出现了问题一定是双方都需要去共同解决的看完这个综艺很感慨因为它和别的综艺不一样不是温情而是教会我们如何去告别如何处理发生的现有矛盾和问题会留下遗憾无奈和泪水却也有温馨璀璨和情感链接中最真实裸露的情感特别感慨老王和朱雅琼相识相知相爱年最后选择分离的形式结束这段婚姻可以理解却也是为他们感到遗憾婚姻真的是一个巨大而又困难的课题吧也许他不会是一个必修课但看完综艺后由最初的单纯害怕转变为了一些憧憬和期待希望我们都能幸福快乐自由
12031,0,2,0,5,1,0,1,0,失恋的时候看的很符合当下的心境我承认我现在还是想复合无奈他已经和别人在一起了刚分手的愤怒焦虑到现在已经成为了后悔无奈遗憾希望我能尽快然后成为更优秀的自己
